epoch,total_loss,supplier_loss,affordability_penalty,timestamp
91,-0.7062,-0.7460,0.0078,2026-02-28T21:30:56.599861
92,-0.7189,-0.7674,0.0176,2026-02-28T21:30:56.622578
93,-0.7032,-0.7634,0.0276,2026-02-28T21:30:56.634635
94,-0.7027,-0.7543,0.0138,2026-02-28T21:30:56.645055
95,-0.7097,-0.7462,0.0084,2026-02-28T21:30:56.650376
96,-0.7100,-0.7500,0.0099,2026-02-28T21:30:56.662723
97,-0.6993,-0.7528,0.0156,2026-02-28T21:30:56.679909
98,-0.7214,-0.7490,0.0046,2026-02-28T21:30:56.688060
99,-0.7156,-0.7479,0.0070,2026-02-28T21:30:56.696222
100,-0.7153,-0.7596,0.0153,2026-02-28T21:30:56.707083
101,-0.7125,-0.7575,0.0200,2026-02-28T21:30:56.726838
102,-0.7141,-0.7525,0.0113,2026-02-28T21:30:56.732904
103,-0.7104,-0.7570,0.0164,2026-02-28T21:30:56.747295
104,-0.7099,-0.7436,0.0086,2026-02-28T21:30:56.758530
105,-0.7135,-0.7524,0.0072,2026-02-28T21:30:56.762718
106,-0.7068,-0.7616,0.0208,2026-02-28T21:30:56.777188
107,-0.7101,-0.7528,0.0136,2026-02-28T21:30:56.791052
108,-0.7167,-0.7540,0.0099,2026-02-28T21:30:56.802952
109,-0.7082,-0.7606,0.0185,2026-02-28T21:30:56.813718
110,-0.7163,-0.7534,0.0075,2026-02-28T21:30:56.825221
111,-0.7186,-0.7555,0.0070,2026-02-28T21:30:56.847956
112,-0.7018,-0.7439,0.0116,2026-02-28T21:30:56.859999
113,-0.7137,-0.7579,0.0159,2026-02-28T21:30:56.864039
114,-0.7008,-0.7594,0.0224,2026-02-28T21:30:56.882208
115,-0.7103,-0.7541,0.0147,2026-02-28T21:30:56.897492
116,-0.7168,-0.7544,0.0087,2026-02-28T21:30:56.907099
117,-0.7133,-0.7417,0.0037,2026-02-28T21:30:56.914729
118,-0.7137,-0.7439,0.0040,2026-02-28T21:30:56.927346
119,-0.7065,-0.7424,0.0098,2026-02-28T21:30:56.935412
120,-0.7121,-0.7609,0.0192,2026-02-28T21:30:56.949853
121,-0.7067,-0.7566,0.0190,2026-02-28T21:30:56.965516
122,-0.7138,-0.7654,0.0236,2026-02-28T21:30:56.977590
123,-0.7131,-0.7433,0.0051,2026-02-28T21:30:56.985642
124,-0.7023,-0.7287,0.0044,2026-02-28T21:30:56.999731
125,-0.7102,-0.7376,0.0042,2026-02-28T21:30:57.009922
126,-0.7090,-0.7542,0.0185,2026-02-28T21:30:57.020894
127,-0.7115,-0.7552,0.0154,2026-02-28T21:30:57.031111
128,-0.7102,-0.7619,0.0214,2026-02-28T21:30:57.047314
129,-0.7155,-0.7525,0.0096,2026-02-28T21:30:57.062447
130,-0.7162,-0.7505,0.0062,2026-02-28T21:30:57.070458
131,-0.7183,-0.7487,0.0034,2026-02-28T21:30:57.084579
132,-0.6980,-0.7353,0.0086,2026-02-28T21:30:57.092362
133,-0.7154,-0.7611,0.0161,2026-02-28T21:30:57.099938
134,-0.7177,-0.7723,0.0224,2026-02-28T21:30:57.109900
135,-0.7275,-0.7729,0.0166,2026-02-28T21:30:57.116485
136,-0.7124,-0.7456,0.0085,2026-02-28T21:30:57.127049
137,-0.7090,-0.7359,0.0034,2026-02-28T21:30:57.132250
138,-0.7146,-0.7415,0.0027,2026-02-28T21:30:57.144598
139,-0.7150,-0.7511,0.0085,2026-02-28T21:30:57.149654
140,-0.7263,-0.7731,0.0168,2026-02-28T21:30:57.162793
141,-0.7210,-0.7669,0.0174,2026-02-28T21:30:57.176263
142,-0.7296,-0.7678,0.0106,2026-02-28T21:30:57.182269
143,-0.7133,-0.7457,0.0078,2026-02-28T21:30:57.195642
144,-0.7071,-0.7341,0.0036,2026-02-28T21:30:57.207217
145,-0.7170,-0.7517,0.0082,2026-02-28T21:30:57.212969
146,-0.7290,-0.7741,0.0150,2026-02-28T21:30:57.219528
147,-0.7254,-0.7754,0.0198,2026-02-28T21:30:57.232188
148,-0.7228,-0.7612,0.0109,2026-02-28T21:30:57.239745
149,-0.7096,-0.7399,0.0069,2026-02-28T21:30:57.248333
150,-0.7162,-0.7481,0.0043,2026-02-28T21:30:57.259926
151,-0.7156,-0.7506,0.0079,2026-02-28T21:30:57.282414
152,-0.7293,-0.7713,0.0139,2026-02-28T21:30:57.293692
153,-0.7185,-0.7588,0.0126,2026-02-28T21:30:57.301870
154,-0.7280,-0.7655,0.0108,2026-02-28T21:30:57.312631
155,-0.7231,-0.7606,0.0101,2026-02-28T21:30:57.321177
156,-0.7177,-0.7477,0.0056,2026-02-28T21:30:57.332625
157,-0.7245,-0.7604,0.0074,2026-02-28T21:30:57.347434
158,-0.7203,-0.7643,0.0145,2026-02-28T21:30:57.357500
159,-0.7217,-0.7580,0.0071,2026-02-28T21:30:57.369443
160,-0.7216,-0.7522,0.0028,2026-02-28T21:30:57.384064
161,-0.7263,-0.7641,0.0105,2026-02-28T21:30:57.411944
162,-0.7237,-0.7646,0.0122,2026-02-28T21:30:57.422203
163,-0.7247,-0.7662,0.0105,2026-02-28T21:30:57.433869
164,-0.7153,-0.7577,0.0133,2026-02-28T21:30:57.447858
165,-0.7192,-0.7616,0.0134,2026-02-28T21:30:57.465710
166,-0.7197,-0.7506,0.0057,2026-02-28T21:30:57.486380
167,-0.7141,-0.7434,0.0031,2026-02-28T21:30:57.498171
168,-0.7043,-0.7364,0.0081,2026-02-28T21:30:57.511814
169,-0.7190,-0.7589,0.0123,2026-02-28T21:30:57.569317
170,-0.7074,-0.7567,0.0203,2026-02-28T21:30:57.582920
171,-0.7283,-0.7600,0.0070,2026-02-28T21:30:57.599993
172,-0.7211,-0.7491,0.0044,2026-02-28T21:30:57.626984
173,-0.7212,-0.7561,0.0098,2026-02-28T21:30:57.637239
174,-0.7157,-0.7528,0.0108,2026-02-28T21:30:57.650643
175,-0.7280,-0.7673,0.0116,2026-02-28T21:30:57.682494
176,-0.7159,-0.7540,0.0099,2026-02-28T21:30:57.688059
177,-0.7232,-0.7608,0.0089,2026-02-28T21:30:57.699763
178,-0.7235,-0.7603,0.0084,2026-02-28T21:30:57.726311
