episode,episode_reward,critic_loss,actor_loss,q_value,exploration_noise,eval_mean_reward,eval_tier_upgrade_rate,eval_avg_price,eval_avg_savings,time_elapsed
1,135.78103825546066,0,0,0,0.9559867233356352,,,,,0.18272686004638672
2,957.5810652616109,0,0,0,0.9139106151940054,,,,,0.3670814037322998
3,535.159212756726,125.17656122843424,-1.2250638944762093,1.0790330201387406,0.8736864144409725,,,,,1.425873041152954
4,1504.724847614178,59.86105132632785,-2.352265281147427,2.1995887054337397,0.8352326125642855,,,,,6.8571531772613525
5,44.439576873782585,43.766627343495685,-4.10669641494751,3.8665549569659765,0.7984712885083941,,,,,11.7297682762146
6,124.39736798518183,20.084968434439766,-5.655185339185927,5.263369003931682,0.7633279507787228,,,,,16.517937898635864
7,36.81194503850676,10.273557800716825,-7.610936832427979,7.0337565633985735,0.7297313864954562,,,,,21.535629987716675
8,4428.691763570786,12.47465141746733,-10.565696419609917,9.661182075076633,0.6976135170909614,,,,,26.36702585220337
9,1960.04288476952,21.692760660913255,-15.328469933403863,14.089573764801026,0.6669092603584367,,,,,30.36851930618286
10,1109.725800526447,18.02529589864943,-19.978956773546006,18.438784790039062,0.637556398572254,,,,,35.37883949279785
11,3292.9983450605655,19.88563802904553,-25.78538640340169,24.008510907491047,0.6094954524127577,,,,,40.60625863075256
12,3050.6174919325426,28.004105122884116,-32.6877449883355,30.45221142239041,0.582669560440043,,,,,45.65955090522766
13,4999.8085804507755,30.93148852719201,-39.7252673678928,37.327033360799156,0.557024363872492,,,,,50.990121364593506
14,1890.7129410192215,43.97151869667901,-46.36512942843967,43.63407991197374,0.5325078964365801,,,,,57.113842248916626
15,3845.8281480591154,37.238306845559016,-51.35093697441949,47.92045444912381,0.5090704790647583,,,,,62.08923673629761
16,5606.386797034946,48.64328046374851,-58.50080108642578,55.31159430609809,0.4866646192280205,,,,,67.18569779396057
17,5870.694149201106,66.74791141086155,-66.56901719835069,63.59680018954807,0.46524491469918006,,,,,72.41037774085999
18,6144.652552446045,75.40709419250489,-74.98581390380859,71.71044557359484,0.44476796155183623,,,,,77.45852541923523
19,5201.638077084981,87.8700102382236,-83.16535288492838,79.74093526204427,0.42519226620860967,,,,,82.60415434837341
20,5108.732414808898,82.7989375061459,-91.12614288330079,87.09385426839192,0.406478161360422,,,,,87.84468412399292
21,5205.148834557,97.48369562890795,-98.52538655598958,95.21351487901475,0.3885877255864434,,,,,93.02292156219482
